src,dst,count
#mentalhealth,#depression,4052
#depression,#anxiety,4821
#depression,#health,160
#depression,#stress,159
#depression,#mentalhealthawareness,153
#depression,#selfcare,145
#depression,#love,121
#depression,#selflove,114
#depression,#mindfulness,91
#depression,#mentalhealthmatters,90
#depression,#psychology,90
#depression,#MentalHealthMatters,82
#depression,#MentalHealthAwareness,73
#depression,#wellness,66
#mentalhealth,#anxiety,3471
#anxiety,#depression,4345
#anxiety,#stress,548
#anxiety,#health,257
#anxiety,#mentalhealthmatters,244
#anxiety,#love,181
#anxiety,#selfcare,177
#anxiety,#mindfulness,166
#anxiety,#mentalhealthawareness,163
#anxiety,#selflove,127
#anxiety,#wellness,100
#anxiety,#psychology,99
#anxiety,#COVID19,89
#anxiety,#suicideprevention,70
#mentalhealth,#selfcare,2032
#selfcare,#selflove,602
#selfcare,#anxiety,207
#selfcare,#love,156
#selfcare,#depression,145
#selfcare,#wellness,121
#selfcare,#motivation,113
#selfcare,#mentalhealthawareness,107
#selfcare,#mindfulness,105
#selfcare,#health,89
#selfcare,#inspiration,83
#selfcare,#wellbeing,64
#selfcare,#mentalhealthmatters,53
#selfcare,#stress,49
#mentalhealth,#MentalHealthMatters,1873
#MentalHealthMatters,#MentalHealthAwareness,2394
#MentalHealthMatters,#COVID19,115
#MentalHealthMatters,#depression,77
#MentalHealthMatters,#WorldSuicidePreventionDay,72
#MentalHealthMatters,#anxiety,59
#mentalhealth,#wellbeing,1513
#wellbeing,#wellness,86
#wellbeing,#health,85
#wellbeing,#selfcare,64
#wellbeing,#anxiety,60
#wellbeing,#selflove,49
#wellbeing,#depression,48
#wellbeing,#love,44
#wellbeing,#mindfulness,40
#wellbeing,#stress,35
#wellbeing,#mentalhealthawareness,34
#wellbeing,#mentalhealthmatters,30
#wellbeing,#psychology,23
#wellbeing,#inspiration,22
#wellbeing,#motivation,22
#mentalhealth,#MentalHealthAwareness,1278
#MentalHealthAwareness,#MentalHealthMatters,2452
#MentalHealthAwareness,#WorldSuicidePreventionDay,358
#MentalHealthAwareness,#depression,63
#MentalHealthAwareness,#anxiety,32
#MentalHealthAwareness,#COVID19,25
#mentalhealth,#love,1259
#love,#motivation,572
#love,#health,240
#love,#selfcare,166
#love,#anxiety,163
#love,#mindfulness,141
#love,#selflove,120
#love,#depression,116
#mentalhealth,#COVID19,1221
#mentalhealth,#health,1201
#health,#anxiety,254
#health,#wellness,232
#health,#love,224
#health,#motivation,204
#health,#depression,187
#health,#stress,96
#health,#wellbeing,95
#health,#mindfulness,90
#health,#selfcare,79
#mentalhealth,#wellness,1000
#wellness,#health,239
#wellness,#selfcare,121
#wellness,#anxiety,111
#wellness,#wellbeing,86
#wellness,#mindfulness,84
#wellness,#selflove,76
#wellness,#love,62
#wellness,#motivation,60
#wellness,#depression,58
#wellness,#mentalhealthawareness,53
#wellness,#stress,46
#wellness,#mentalhealthmatters,35
#wellness,#inspiration,33
#mentalhealth,#mentalhealthawareness,887
#mentalhealthawareness,#mentalhealthmatters,195
#mentalhealthawareness,#anxiety,182
#mentalhealthawareness,#depression,153
#mentalhealthawareness,#selfcare,114
#mentalhealthawareness,#selflove,61
#mentalhealthawareness,#psychology,58
#mentalhealthawareness,#suicideprevention,54
#mentalhealthawareness,#wellness,53
#mentalhealthawareness,#love,48
#mentalhealthawareness,#mindfulness,42
#mentalhealthawareness,#motivation,39
#mentalhealthawareness,#wellbeing,34
#mentalhealthawareness,#health,32
#mentalhealth,#mentalhealthmatters,773
#mentalhealthmatters,#anxiety,228
#mentalhealthmatters,#mentalhealthawareness,220
#mentalhealthmatters,#depression,132
#mentalhealthmatters,#selfcare,60
#mentalhealthmatters,#health,54
#mentalhealthmatters,#love,43
#mentalhealthmatters,#wellbeing,39
#mentalhealthmatters,#selflove,36
#mentalhealthmatters,#wellness,34
#mentalhealthmatters,#motivation,22
#mentalhealthmatters,#psychology,16
#mentalhealthmatters,#suicideprevention,15
#mentalhealthmatters,#mindfulness,15
#mentalhealth,#selflove,603
#selflove,#selfcare,602
#selflove,#mindfulness,136
#selflove,#love,124
#selflove,#motivation,114
#selflove,#depression,102
#selflove,#inspiration,96
#selflove,#anxiety,92
#selflove,#wellness,76
#selflove,#mentalhealthawareness,61
#selflove,#wellbeing,49
#selflove,#health,47
#mentalhealth,#mindfulness,579
#mindfulness,#motivation,283
#mindfulness,#anxiety,160
#mindfulness,#love,131
#mindfulness,#selflove,130
#mindfulness,#selfcare,105
#mindfulness,#depression,91
#mindfulness,#health,88
#mindfulness,#wellness,74
#mindfulness,#inspiration,56
#mindfulness,#stress,43
#mindfulness,#mentalhealthawareness,42
#mindfulness,#wellbeing,40
#mentalhealth,#psychology,528
#psychology,#depression,98
#psychology,#anxiety,84
#psychology,#mentalhealthawareness,58
#psychology,#motivation,32
#psychology,#wellness,29
#psychology,#mindfulness,28
#psychology,#wellbeing,23
#mentalhealth,#WorldSuicidePreventionDay,478
#WorldSuicidePreventionDay,#MentalHealthAwareness,287
#WorldSuicidePreventionDay,#MentalHealthMatters,72
#WorldSuicidePreventionDay,#suicideprevention,41
#mentalhealth,#motivation,474
#motivation,#love,640
#motivation,#inspiration,413
#motivation,#mindfulness,320
#motivation,#health,204
#motivation,#selflove,114
#motivation,#selfcare,110
#mentalhealth,#suicideprevention,392
#suicideprevention,#anxiety,70
#suicideprevention,#mentalhealthawareness,54
